#Spt 	logTeff  B_V 	 U_B 	BC 	MV 	Teff 	M 	R 	logg 	M_over_L     L_over_M 
# 	 	(mag) 	(mag) 	(mag) 	(mag) 	(K) 	(⁠M⊙⁠) 	(⁠R⊙⁠) 	(cgs) 	(⊙) 	(erg s−1 gr−1) 
O2 	4.720 	−0.33 	−1.22 	−4.52 	−6.44 	52483 	63.980 	16.734 	3.80 	0.00003 	57628 
O3 	4.672 	−0.33 	−1.21 	−4.19 	−5.62 	46990 	44.260 	12.312 	3.90 	0.00007 	28981 
O4 	4.636 	−0.33 	−1.20 	−3.94 	−5.13 	43251 	34.809 	10.301 	3.95 	0.00010 	18514 
O5 	4.610 	−0.33 	−1.19 	−3.77 	−4.80 	40738 	29.669 	9.236 	3.98 	0.00014 	13743 
O6 	4.583 	−0.33 	−1.18 	−3.58 	−4.50 	38282 	25.380 	8.362 	4.00 	0.00019 	10270 
O7 	4.554 	−0.33 	−1.17 	−3.39 	−4.20 	35810 	21.660 	7.616 	4.01 	0.00025 	7642 
O8 	4.531 	−0.32 	−1.15 	−3.23 	−3.99 	33963 	19.215 	7.131 	4.02 	0.00032 	6111 
O9 	4.508 	−0.32 	−1.13 	−3.03 	−3.83 	32211 	17.123 	6.721 	4.02 	0.00039 	4929 
B0 	4.470 	−0.31 	−1.08 	−2.84 	−3.45 	29512 	14.277 	6.171 	4.01 	0.00055 	3511 
B1 	4.400 	−0.28 	−0.98 	−2.40 	−2.93 	25119 	10.459 	5.454 	3.98 	0.00098 	1965 
B2 	4.325 	−0.24 	−0.87 	−2.02 	−2.35 	21135 	7.699 	4.967 	3.93 	0.00174 	1110 
B3 	4.265 	−0.21 	−0.75 	−1.62 	−1.68 	18408 	6.123 	3.989 	4.02 	0.00373 	518 
B5 	4.180 	−0.17 	−0.58 	−1.22 	−0.76 	15136 	4.516 	3.214 	4.08 	0.00928 	208 
B6 	4.145 	−0.15 	−0.50 	−1.02 	−0.44 	13964 	4.007 	2.974 	4.09 	0.01327 	146 
B7 	4.115 	−0.13 	−0.43 	−0.85 	−0.18 	13032 	3.625 	2.797 	4.10 	0.01790 	108 
B8 	4.080 	−0.11 	−0.35 	−0.66 	0.13 	12023 	3.234 	2.617 	4.11 	0.02518 	77 
B9 	4.028 	−0.07 	−0.19 	−0.39 	0.57 	10666 	2.743 	2.394 	4.12 	0.04121 	47 
A0 	3.995 	−0.01 	−0.01 	−0.24 	0.86 	9886 	2.478 	2.274 	4.12 	0.05587 	35 
A1 	3.974 	0.02 	0.03 	−0.15 	0.90 	9419 	2.325 	2.362 	4.06 	0.05897 	33 
A2 	3.958 	0.05 	0.06 	−0.08 	1.06 	9078 	2.216 	2.292 	4.06 	0.06919 	28 
A3 	3.942 	0.08 	0.08 	−0.03 	1.23 	8750 	2.113 	2.226 	4.07 	0.08107 	24 
A5 	3.915 	0.15 	0.10 	0.00 	1.57 	8222 	1.952 	2.123 	4.08 	0.10557 	18 
A6 	3.902 	0.18 	0.10 	0.01 	1.74 	7980 	1.879 	2.077 	4.08 	0.11971 	16 
A7 	3.889 	0.21 	0.09 	0.02 	1.91 	7745 	1.810 	2.033 	4.08 	0.13563 	14 
A8 	3.877 	0.25 	0.08 	0.02 	2.07 	7534 	1.749 	1.994 	4.08 	0.15209 	13 
F0 	3.855 	0.31 	0.05 	0.01 	2.37 	7161 	1.643 	1.928 	4.08 	0.18726 	10 
F1 	3.843 	0.34 	0.02 	0.01 	2.53 	6966 	1.588 	1.893 	4.08 	0.20956 	9.22 
F2 	3.832 	0.37 	0.00 	0.00 	2.69 	6792 	1.540 	1.863 	4.09 	0.23219 	8.33 
F3 	3.822 	0.40 	−0.01 	0.00 	2.82 	6637 	1.498 	1.838 	4.09 	0.25448 	7.60 
